t x y vx vy ax ay theta_deg
0 0.0772164 -0.237776 -0 -0 -2.92973 -0.951411 17.9909
0.01 0.0770699 -0.237824 -0.029284 -0.00948985 -2.92574 -0.944138 17.9556
0.02 0.076631 -0.237966 -0.0584879 -0.0188346 -2.91371 -0.922422 17.8499
0.03 0.0759007 -0.2382 -0.087531 -0.0278912 -2.89352 -0.88657 17.6741
0.04 0.0748812 -0.238522 -0.11633 -0.0365205 -2.86495 -0.83709 17.4291
0.05 0.0735752 -0.238928 -0.144801 -0.0445898 -2.82772 -0.774687 17.1156
0.06 0.0719865 -0.239412 -0.172855 -0.0519742 -2.78149 -0.700256 16.735
0.07 0.0701198 -0.239965 -0.2004 -0.0585585 -2.72587 -0.614875 16.2888
0.08 0.0679805 -0.24058 -0.22734 -0.0642393 -2.66048 -0.51979 15.7787
0.09 0.0655753 -0.241247 -0.253575 -0.0689266 -2.58492 -0.416403 15.2067
0.1 0.0629117 -0.241955 -0.279003 -0.0725448 -2.49883 -0.306257 14.575
0.11 0.0599983 -0.242694 -0.303516 -0.0750347 -2.4019 -0.191013 13.8861
0.12 0.0568448 -0.243452 -0.327004 -0.076354 -2.29389 -0.072434 13.1428
0.13 0.053462 -0.244217 -0.349356 -0.0764784 -2.17467 0.047647 12.348
0.14 0.0498619 -0.244977 -0.37046 -0.0754023 -2.04424 0.167349 11.5047
0.15 0.0460574 -0.245721 -0.390204 -0.073139 -1.90271 0.284774 10.6162
0.16 0.0420627 -0.246436 -0.408478 -0.0697207 -1.75035 0.398038 9.68613
0.17 0.0378931 -0.247112 -0.425176 -0.0651982 -1.58761 0.505304 8.71805
0.18 0.0335648 -0.247737 -0.440198 -0.0596405 -1.41508 0.604812 7.71577
0.19 0.029095 -0.248301 -0.453448 -0.0531333 -1.23354 0.694916 6.68323
0.2 0.024502 -0.248796 -0.464841 -0.0457785 -1.0439 0.77411 5.62447
0.21 0.0198046 -0.249214 -0.474303 -0.037692 -0.847239 0.84106 4.54365
0.22 0.0150226 -0.249548 -0.481767 -0.029002 -0.644766 0.894634 3.445
0.23 0.0101761 -0.249793 -0.487183 -0.019847 -0.437799 0.933918 2.33284
0.24 0.00528589 -0.249944 -0.490513 -0.0103735 -0.227745 0.958239 1.21153
0.25 0.000372901 -0.25 -0.491732 -0.000733471 -0.0160753 0.967182 0.0854626
0.26 -0.00454169 -0.249959 -0.490834 0.00891834 0.195709 0.960592 -1.04094
