t x y vx vy ax ay theta_deg
0 0.123546 -0.380442 -0 -0 -2.92973 -0.951411 17.9909
0.01 0.1234 -0.38049 -0.029289 -0.00949895 -2.92723 -0.946863 17.9688
0.02 0.122961 -0.380632 -0.058528 -0.0189071 -2.91973 -0.933261 17.9027
0.03 0.12223 -0.380867 -0.0876667 -0.0281344 -2.90717 -0.910723 17.7927
0.04 0.121208 -0.381194 -0.116654 -0.0370924 -2.88946 -0.87945 17.639
0.05 0.119897 -0.381608 -0.145438 -0.0456952 -2.86649 -0.839719 17.4422
0.06 0.1183 -0.382106 -0.173966 -0.0538598 -2.83812 -0.791884 17.2025
0.07 0.116419 -0.382683 -0.202182 -0.0615073 -2.80418 -0.736374 16.9207
0.08 0.114257 -0.383334 -0.23003 -0.0685633 -2.76449 -0.673689 16.5973
0.09 0.11182 -0.384053 -0.257452 -0.074959 -2.71885 -0.604398 16.2333
0.1 0.10911 -0.384831 -0.284387 -0.0806314 -2.66708 -0.529135 15.8295
0.11 0.106134 -0.385663 -0.310773 -0.0855241 -2.60897 -0.448593 15.3868
0.12 0.102897 -0.386539 -0.336545 -0.0895881 -2.54435 -0.363524 14.9064
0.13 0.0994051 -0.387451 -0.361637 -0.0927822 -2.47304 -0.274725 14.3895
0.14 0.0956664 -0.388391 -0.385983 -0.095073 -2.39491 -0.183039 13.8373
0.15 0.0916882 -0.38935 -0.409512 -0.0964362 -2.30985 -0.0893423 13.2512
0.16 0.0874791 -0.390317 -0.432156 -0.0968562 -2.21779 0.00545793 12.6326
0.17 0.0830482 -0.391284 -0.453844 -0.0963265 -2.1187 0.100436 11.9829
0.18 0.0784056 -0.39224 -0.474507 -0.09485 -2.01263 0.194657 11.304
0.19 0.0735617 -0.393178 -0.494074 -0.092439 -1.89964 0.287181 10.5973
0.2 0.068528 -0.394086 -0.512477 -0.0891151 -1.7799 0.377079 9.86457
0.21 0.0633163 -0.394957 -0.52965 -0.0849092 -1.6536 0.463441 9.1077
0.22 0.0579393 -0.395782 -0.545528 -0.079861 -1.52102 0.545382 8.32849
0.23 0.0524103 -0.396552 -0.560051 -0.0740191 -1.38249 0.62206 7.52886
0.24 0.046743 -0.397259 -0.57316 -0.0674401 -1.23843 0.692677 6.71078
0.25 0.040952 -0.397898 -0.584802 -0.0601882 -1.08928 0.756495 5.87623
0.26 0.035052 -0.398461 -0.59493 -0.0523351 -0.935583 0.812844 5.02728
0.27 0.0290585 -0.398943 -0.603501 -0.0439583 -0.777902 0.861127 4.166
0.28 0.0229873 -0.399339 -0.610477 -0.0351411 -0.616863 0.900831 3.29451
0.29 0.0168544 -0.399645 -0.615829 -0.0259717 -0.453131 0.931533 2.41493
0.3 0.0106762 -0.399857 -0.619533 -0.0165416 -0.287402 0.952905 1.52944
0.31 0.00446931 -0.399975 -0.621573 -0.00694544 -0.120399 0.964717 0.640195
0.32 -0.00174964 -0.399996 -0.621939 0.00272046 0.0471397 0.966842 -0.250619
0.33 -0.00796389 -0.399921 -0.620631 0.012359 0.214468 0.959258 -1.14082
0.34 -0.0141567 -0.399749 -0.617653 0.0218735 0.380845 0.942045 -2.02822
0.35 -0.0203114 -0.399484 -0.613019 0.0311684 0.545538 0.91539 -2.91065
0.36 -0.0264116 -0.399127 -0.60675 0.0401508 0.707839 0.879576 -3.78594
0.37 -0.0324411 -0.398682 -0.598873 0.0487307 0.867068 0.834987 -4.65195
0.38 -0.0383838 -0.398154 -0.589421 0.0568228 1.02258 0.782098 -5.50655
0.39 -0.0442244 -0.397548 -0.578435 0.0643469 1.17379 0.721468 -6.34765
0.4 -0.0499476 -0.396869 -0.565962 0.0712285 1.32013 0.653738 -7.17319
0.41 -0.0555388 -0.396126 -0.552051 0.0774003 1.46114 0.579617 -7.98113
0.42 -0.060984 -0.395324 -0.536758 0.0828021 1.59636 0.499876 -8.76951
0.43 -0.0662696 -0.394472 -0.520144 0.0873818 1.72545 0.415342 -9.53639
0.44 -0.0713827 -0.393579 -0.502271 0.0910958 1.84809 0.326879 -10.2799
0.45 -0.076311 -0.392653 -0.483204 0.0939093 1.96405 0.23539 -10.9982
0.46 -0.081043 -0.391704 -0.463013 0.0957966 2.07316 0.141797 -11.6895
0.47 -0.0855677 -0.390741 -0.441764 0.0967414 2.17531 0.0470345 -12.3521
0.48 -0.089875 -0.389772 -0.41953 0.0967366 2.27044 -0.0479584 -12.9845
0.49 -0.0939553 -0.388809 -0.396379 0.0957845 2.35856 -0.14225 -13.585
0.5 -0.0977998 -0.38786 -0.372382 0.0938969 2.43971 -0.234926 -14.1523
0.51 -0.1014 -0.386934 -0.347608 0.0910944 2.51399 -0.325094 -14.6848
0.52 -0.10475 -0.386041 -0.322125 0.0874063 2.58151 -0.411895 -15.1813
0.53 -0.107841 -0.385189 -0.295999 0.0828704 2.64245 -0.494512 -15.6406
0.54 -0.110668 -0.384386 -0.269297 0.0775326 2.69697 -0.572173 -16.0615
0.55 -0.113225 -0.383641 -0.242081 0.0714459 2.74527 -0.644158 -16.4431
0.56 -0.115508 -0.382959 -0.214412 0.0646705 2.78753 -0.709806 -16.7843
0.57 -0.117512 -0.382349 -0.186349 0.0572729 2.82397 -0.768521 -17.0844
0.58 -0.119234 -0.381816 -0.157951 0.049325 2.85476 -0.81977 -17.3426
0.59 -0.12067 -0.381364 -0.129272 0.0409039 2.88007 -0.863094 -17.5582
0.6 -0.121818 -0.380999 -0.100367 0.0320909 2.90006 -0.898105 -17.7308
0.61 -0.122677 -0.380724 -0.0712886 0.0229706 2.91486 -0.924492 -17.86
0.62 -0.123244 -0.38054 -0.0420872 0.0136306 2.92457 -0.942022 -17.9453
0.63 -0.123518 -0.380451 -0.0128139 0.00416019 2.92925 -0.95054 -17.9867
0.64 -0.1235 -0.380457 0.0164812 -0.00534995 2.92894 -0.949971 -17.9839
0.65 -0.123189 -0.380558 0.0457482 -0.0148089 2.92363 -0.940319 -17.937
0.66 -0.122585 -0.380753 0.0749371 -0.0241263 2.91329 -0.92167 -17.8462
0.67 -0.12169 -0.38104 0.103997 -0.0332129 2.89785 -0.894188 -17.7116
0.68 -0.120506 -0.381416 0.132877 -0.0419814 2.87719 -0.858117 -17.5336
0.69 -0.119034 -0.381878 0.161523 -0.0503477 2.8512 -0.813779 -17.3125
0.7 -0.117276 -0.382422 0.189882 -0.0582308 2.81972 -0.761568 -17.0491
0.71 -0.115237 -0.383041 0.217899 -0.0655543 2.78257 -0.701955 -16.7438
0.72 -0.11292 -0.383731 0.245514 -0.072247 2.73956 -0.635479 -16.3975
0.73 -0.110328 -0.384484 0.27267 -0.0782431 2.69049 -0.562746 -16.0109
0.74 -0.107468 -0.385293 0.299303 -0.0834833 2.63518 -0.484425 -15.5851
0.75 -0.104344 -0.386151 0.325352 -0.0879153 2.57342 -0.40124 -15.1211
0.76 -0.100963 -0.387048 0.35075 -0.0914945 2.50506 -0.313971 -14.62
0.77 -0.0973316 -0.387978 0.37543 -0.0941839 2.42993 -0.223442 -14.0831
0.78 -0.0934572 -0.388929 0.399325 -0.0959553 2.34791 -0.130515 -13.5116
0.79 -0.089348 -0.389894 0.422365 -0.0967892 2.25892 -0.0360844 -12.907
0.8 -0.0850129 -0.390862 0.44448 -0.096675 2.1629 0.0589309 -12.2708
0.81 -0.0804617 -0.391824 0.4656 -0.0956117 2.05988 0.153598 -11.6045
0.82 -0.0757045 -0.392771 0.485655 -0.0936074 1.9499 0.246979 -10.9097
0.83 -0.0707524 -0.393693 0.504575 -0.0906795 1.83309 0.33814 -10.1881
0.84 -0.065617 -0.394581 0.522294 -0.086855 1.70963 0.426159 -9.44161
0.85 -0.0603107 -0.395427 0.538746 -0.0821698 1.57976 0.51014 -8.67194
0.86 -0.0548465 -0.396222 0.553869 -0.0766686 1.44379 0.589221 -7.88101
0.87 -0.0492379 -0.396958 0.567603 -0.0704045 1.30209 0.662583 -7.07075
0.88 -0.0434992 -0.397628 0.579893 -0.0634385 1.15511 0.729462 -6.24315
0.89 -0.0376451 -0.398225 0.590689 -0.0558392 1.00334 0.789156 -5.40025
0.9 -0.0316906 -0.398743 0.599946 -0.0476815 0.847323 0.841035 -4.5441
0.91 -0.0256514 -0.399177 0.607624 -0.0390464 0.687673 0.884549 -3.67682
0.92 -0.0195435 -0.399522 0.613689 -0.0300199 0.525035 0.919235 -2.80051
0.93 -0.0133831 -0.399776 0.618117 -0.0206923 0.360091 0.944722 -1.91734
0.94 -0.00718668 -0.399935 0.620886 -0.0111571 0.193555 0.960737 -1.02947
0.95 -0.000970926 -0.399999 0.621985 -0.00150976 0.0261595 0.967108 -0.139075
0.96 0.00524744 -0.399966 0.621409 0.00815271 -0.141353 0.963767 0.751662
0.97 0.0114517 -0.399836 0.61916 0.0177333 -0.308236 0.950749 1.64056
0.98 0.0176251 -0.399612 0.615249 0.0271359 -0.473754 0.928195 2.52543
0.99 0.0237512 -0.399294 0.609692 0.0362662 -0.637187 0.896345 3.40411
1 0.0298135 -0.398887 0.602514 0.0450329 -0.797842 0.855542 4.27444
1.01 0.0357961 -0.398395 0.593747 0.0533486 -0.955057 0.806219 5.13429
1.02 0.0416833 -0.397822 0.583427 0.0611307 -1.10822 0.748901 5.98155
1.03 0.0474596 -0.397174 0.571598 0.068302 -1.25675 0.684193 6.81415
1.04 0.0531104 -0.396458 0.558309 0.0747921 -1.40015 0.612775 7.63003
1.05 0.0586211 -0.395681 0.543613 0.0805376 -1.53795 0.535394 8.42721
1.06 0.0639781 -0.39485 0.52757 0.0854828 -1.66976 0.452852 9.20372
1.07 0.0691682 -0.393974 0.510239 0.0895803 -1.79525 0.365999 9.95767
1.08 0.0741788 -0.393062 0.491686 0.0927914 -1.91416 0.275721 10.6872
1.09 0.0789981 -0.392122 0.471979 0.0950864 -2.02629 0.182934 11.3905
1.1 0.0836148 -0.391163 0.451184 0.0964448 -2.13149 0.088567 12.0659
1.11 0.0880184 -0.390196 0.429372 0.0968556 -2.2297 -0.00644025 12.7117
1.12 0.0921991 -0.389229 0.406613 0.096317 -2.32088 -0.101153 13.3264
1.13 0.0961477 -0.388273 0.382978 0.0948366 -2.40507 -0.194646 13.9083
1.14 0.0998559 -0.387336 0.358535 0.0924311 -2.48234 -0.286019 14.4562
1.15 0.103316 -0.386427 0.333354 0.0891262 -2.5528 -0.374396 14.9686
1.16 0.106521 -0.385556 0.307501 0.084956 -2.6166 -0.458941 15.4443
1.17 0.109464 -0.384731 0.281043 0.0799628 -2.6739 -0.538862 15.8822
1.18 0.11214 -0.383959 0.254044 0.0741966 -2.7249 -0.613414 16.2811
1.19 0.114543 -0.383249 0.226566 0.0677147 -2.76978 -0.681911 16.6401
1.2 0.11667 -0.382607 0.198668 0.0605807 -2.80874 -0.743728 16.9582
1.21 0.118515 -0.382039 0.17041 0.0528643 -2.84197 -0.798303 17.2348
1.22 0.120077 -0.381551 0.141847 0.0446404 -2.86966 -0.845146 17.4692
1.23 0.121352 -0.381148 0.113035 0.0359886 -2.89196 -0.883835 17.6607
1.24 0.122337 -0.380833 0.0840257 0.026992 -2.90902 -0.914028 17.8089
1.25 0.123032 -0.380609 0.0548716 0.0177372 -2.92095 -0.935456 17.9134
1.26 0.123434 -0.380479 0.0256236 0.00831276 -2.92782 -0.94793 17.974
1.27 0.123544 -0.380443 -0.00366809 -0.00119117 -2.92969 -0.951339 17.9905
1.28 0.123361 -0.380502 -0.0329536 -0.0106837 -2.92657 -0.945654 17.963
1.29 0.122885 -0.380656 -0.0621828 -0.0200741 -2.91844 -0.930925 17.8913
1.3 0.122117 -0.380903 -0.0913054 -0.0292725 -2.90524 -0.907281 17.7758
1.31 0.121059 -0.381241 -0.12027 -0.0381907 -2.88688 -0.874933 17.6168
1.32 0.119713 -0.381666 -0.149025 -0.0467431 -2.86324 -0.834166 17.4145
