t x y vx vy ax ay theta_deg
0 0.154433 -0.475553 -0 -0 -2.92973 -0.951411 17.9909
0.01 0.154286 -0.4756 -0.0292906 -0.00950198 -2.92773 -0.947772 17.9732
0.02 0.153847 -0.475743 -0.0585413 -0.0189313 -2.92173 -0.936882 17.9203
0.03 0.153116 -0.475979 -0.0877119 -0.0282157 -2.9117 -0.918818 17.8323
0.04 0.152093 -0.476306 -0.116762 -0.0372841 -2.89757 -0.893706 17.7092
0.05 0.150781 -0.476723 -0.145649 -0.0460669 -2.87928 -0.861726 17.5514
0.06 0.149181 -0.477226 -0.174333 -0.0544965 -2.85673 -0.823105 17.3592
0.07 0.147295 -0.477812 -0.202769 -0.0625078 -2.8298 -0.778118 17.133
0.08 0.145127 -0.478475 -0.230914 -0.0700387 -2.79839 -0.727089 16.8731
0.09 0.142678 -0.479211 -0.258722 -0.0770307 -2.76235 -0.670386 16.5801
0.1 0.139953 -0.480014 -0.286145 -0.0834289 -2.72155 -0.608422 16.2546
0.11 0.136957 -0.480877 -0.313137 -0.0891831 -2.67585 -0.54165 15.8973
0.12 0.133692 -0.481795 -0.339646 -0.0942475 -2.62511 -0.470563 15.5087
0.13 0.130165 -0.48276 -0.365621 -0.0985817 -2.56919 -0.395687 15.0897
0.14 0.126382 -0.483764 -0.391012 -0.102151 -2.50797 -0.317586 14.6411
0.15 0.122347 -0.4848 -0.415763 -0.104925 -2.44134 -0.236847 14.1638
0.16 0.118069 -0.48586 -0.43982 -0.106881 -2.36921 -0.154088 13.6587
0.17 0.113553 -0.486935 -0.463128 -0.108002 -2.29152 -0.0699433 13.1268
0.18 0.108809 -0.488017 -0.485632 -0.108277 -2.20822 0.0149336 12.5692
0.19 0.103844 -0.489098 -0.507274 -0.107703 -2.11931 0.0998789 11.9869
0.2 0.0986665 -0.490168 -0.527999 -0.106282 -2.02479 0.184222 11.381
0.21 0.0932869 -0.49122 -0.547752 -0.104023 -1.92474 0.267292 10.7529
0.22 0.0877149 -0.492246 -0.566476 -0.100942 -1.81925 0.348421 10.1037
