t x y vx vy ax ay theta_deg
0 0.185319 -0.570663 -0 -0 -2.92973 -0.951411 17.9909
0.01 0.185173 -0.570711 -0.0292917 -0.009504 -2.92807 -0.948378 17.9762
0.02 0.184734 -0.570853 -0.0585502 -0.0189474 -2.92307 -0.939299 17.9321
0.03 0.184002 -0.57109 -0.0877419 -0.02827 -2.91471 -0.924226 17.8587
0.04 0.182979 -0.571418 -0.116833 -0.0374122 -2.90296 -0.903248 17.7561
0.05 0.181666 -0.571837 -0.14579 -0.0463157 -2.88777 -0.876489 17.6244
0.06 0.180064 -0.572343 -0.174577 -0.0549233 -2.86905 -0.844107 17.464
0.07 0.178175 -0.572934 -0.203159 -0.0631797 -2.84675 -0.806296 17.275
0.08 0.176001 -0.573606 -0.2315 -0.0710318 -2.82077 -0.76328 17.0578
0.09 0.173546 -0.574353 -0.259562 -0.0784288 -2.79101 -0.715317 16.8127
0.1 0.170811 -0.575173 -0.287307 -0.0853226 -2.75737 -0.662697 16.5401
0.11 0.167801 -0.576058 -0.314696 -0.0916683 -2.71975 -0.605739 16.2404
0.12 0.164519 -0.577004 -0.341688 -0.0974241 -2.67804 -0.544789 15.9142
0.13 0.160969 -0.578004 -0.368243 -0.102552 -2.63213 -0.480224 15.562
0.14 0.157155 -0.579053 -0.394317 -0.107018 -2.58193 -0.412442 15.1844
0.15 0.153084 -0.580142 -0.419867 -0.110792 -2.52733 -0.341866 14.7819
0.16 0.14876 -0.581266 -0.444848 -0.113847 -2.46825 -0.268939 14.3553
0.17 0.144189 -0.582417 -0.469216 -0.116164 -2.40461 -0.194124 13.9051
0.18 0.139378 -0.583587 -0.492925 -0.117725 -2.33636 -0.117897 13.4323
0.19 0.134333 -0.584769 -0.515928 -0.118519 -2.26346 -0.0407484 12.9375
0.2 0.129062 -0.585955 -0.538179 -0.118539 -2.18587 0.0368204 12.4216
0.21 0.123572 -0.587137 -0.55963 -0.117783 -2.10361 0.114303 11.8853
0.22 0.117872 -0.588308 -0.580235 -0.116255 -2.01668 0.191188 11.3296
0.23 0.11197 -0.58946 -0.599948 -0.113963 -1.92515 0.266965 10.7554
0.24 0.105876 -0.590585 -0.618723 -0.110921 -1.82909 0.341128 10.1637
0.25 0.0995992 -0.591676 -0.636515 -0.107147 -1.72859 0.413176 9.55525
0.26 0.0931494 -0.592725 -0.653281 -0.102666 -1.62379 0.482619 8.93123
0.27 0.0865372 -0.593727 -0.668977 -0.0975051 -1.51485 0.548984 8.29261
0.28 0.0797735 -0.594673 -0.683564 -0.091698 -1.40196 0.611814 7.64043
0.29 0.0728697 -0.595559 -0.697004 -0.0852821 -1.28534 0.670674 6.97576
0.3 0.0658374 -0.596377 -0.709259 -0.0782991 -1.16522 0.725153 6.29969
0.31 0.0586886 -0.597123 -0.720298 -0.0707949 -1.04188 0.774872 5.61332
0.32 0.0514356 -0.597791 -0.730087 -0.0628187 -0.915627 0.81948 4.91777
0.33 0.0440911 -0.598378 -0.738601 -0.0544234 -0.786765 0.858663 4.21419
0.34 0.0366679 -0.598879 -0.745815 -0.0456645 -0.655641 0.892142 3.50371
0.35 0.0291792 -0.59929 -0.751708 -0.0366003 -0.522612 0.91968 2.78751
0.36 0.0216382 -0.59961 -0.756262 -0.0272913 -0.388053 0.94108 2.06674
0.37 0.0140584 -0.599835 -0.759465 -0.0177997 -0.25235 0.95619 1.3426
0.38 0.00645343 -0.599965 -0.761307 -0.00818888 -0.115901 0.964901 0.61627
0.39 -0.00116315 -0.599999 -0.761782 0.00147678 0.0208924 0.967151 -0.111073
0.4 -0.00877764 -0.599936 -0.760889 0.0111325 0.157623 0.962924 -0.838233
0.41 -0.0163764 -0.599776 -0.758631 0.0207138 0.293887 0.95225 -1.56402
0.42 -0.0239457 -0.599522 -0.755014 0.0301563 0.429282 0.935206 -2.28726
0.43 -0.0314722 -0.599174 -0.75005 0.0393971 0.563415 0.911913 -3.00675
0.44 -0.0389423 -0.598735 -0.743751 0.0483743 0.695902 0.882538 -3.72133
0.45 -0.0463428 -0.598208 -0.736138 0.0570282 0.826372 0.84729 -4.42983
0.46 -0.0536607 -0.597596 -0.727232 0.0653014 0.954474 0.80642 -5.13108
0.47 -0.0608832 -0.596903 -0.717058 0.0731388 1.07987 0.760216 -5.82394
0.48 -0.0679978 -0.596134 -0.705645 0.080489 1.20225 0.709005 -6.50729
0.49 -0.0749921 -0.595295 -0.693024 0.0873034 1.32133 0.653146 -7.18
0.5 -0.0818543 -0.59439 -0.67923 0.0935377 1.43684 0.593029 -7.84096
